transaction_id,date,department,region,category,budget,actual
TXN-001624,October 2025,Information Technology,North America,Advertising,17401.92,17248.75
TXN-000698,October 2024, Sales,Emea,SW,13051.44,12663.66
TXN-000453,01-Jul-2024,Marketing ,N. America,software,13875.0,14245.91
TXN-001150,01/04/2025,Sales,emea,Equipment,11299.04,10716.26
TXN-001678,01/11/2025, Sales,Asia Pacific,software,13875.0,12715.55
TXN-000013,01-Jan-2024,Marketing,Asia Pacific,SW,16125.0,15205.36
TXN-000654,09/01/2024,it,Emea,advertising,17000.0,17045.05
TXN-000632,09/01/2024,Ops,NA,Travel,6800.0,6706.4
TXN-000481,01-Jul-2024,Ops,north america,Payroll,74000.0,88182.84
TXN-000284,01/04/2024,it,APAC,Ads,22598.08,15694.42
TXN-001459,01/08/2025,OPERATIONS,NA,advertising,17401.92,17946.56
TXN-000316,05/01/2024,sales,north america,Payroll,86000.0,76919.83
TXN-000434,June 2024,Information Technology,Apac,Ads,20000.0,21239.56
TXN-000109,02/01/2024,Operations,N. America,Ads,22598.08,"$20,113.93"
TXN-000967,01/01/2025,hr,emea,Travel & Expenses,8600.0,8050.98
TXN-000846,December 2024, Sales,EMEA,PAYROLL,80000.0,82378.89
TXN-000733,01/10/2024,I.T.,APAC,SW,13051.44,12713.97
TXN-000121,02/01/2024,IT,N. America,Payroll,90392.3,"$81,044.97"
TXN-000127,01/02/2024,IT,EMEA,Travel & Expenses,9039.23,12277.9
TXN-000422,01/06/2024,it,north america,Travel & Expenses,8000.0,7133.96
TXN-000903,01-Jan-2025,MKT,NA,Software,16125.0,11034.56
TXN-000209,01-Mar-2024,IT,Asia Pacific,Advertising,23000.0,27533.64
TXN-001270,2025-05-01,H.R.,EMEA,Equipment,10750.0,9183.21
TXN-001187,April 2025,HR,NA,Travel & Expenses,9039.23,9582.63
TXN-001233,2025-05-01,Operations,North America,software,16125.0,19070.8
TXN-001710,11/01/2025,I.T.,apac,,9250.0,7482.47
TXN-001616,October 2025,Operations,Asia Pacific,PAYROLL,69607.7,55401.72
TXN-000210,01/03/2024,IT,,Equipment,11500.0,13198.34
TXN-000767,11/01/2024,sales,NA,Travel & Expenses,7400.0,7596.2
TXN-001667,01-Nov-2025,sales,North America,Travel,7400.0,9216.46
TXN-000471,2024-07-01,sales,Emea,PAYROLL,74000.0,67002.32
TXN-000118,01/02/2024,Operations,apac,software,16948.56,22389.62
TXN-001232,2025-05-01,operations,N. America,Travel,8600.0,8196.89
TXN-000177,03/01/2024,sales,apac,Travel & Expenses,9200.0,10017.03
TXN-000464,07/01/2024,marketing,Asia Pacific,advertising,18500.0,17780.02
TXN-000213,01-Mar-2024,H.R.,north america,software,17250.0,20620.91
TXN-001032,02/01/2025,I.T.,APAC,Travel & Expenses,9039.23,9384.63
TXN-000218,01/03/2024,H.R.,emea,SW,,20480.56
TXN-000293,04/01/2024,H.R.,EMEA,SW,16948.56,17662.35
TXN-000289,2024-04-01,HR,north america,Ads,22598.08,24670.02
TXN-001487,01/08/2025,hr,NA,Travel,6960.77,6742.76
TXN-001080,01-Mar-2025,Sales,apac,equipment,11500.0,13860.65
TXN-001466,2025-08-01,Ops,apac,PAYROLL,69607.7,74066.38
TXN-000792,01/11/2024,OPERATIONS,apac,travel,7400.0,"$6,530.01"
TXN-001598,01/10/2025, Sales,Emea,software,13051.44,9045.94
TXN-000119,02/01/2024,operations,,advertising,22598.08,17361.52
TXN-000770,11/01/2024,Sales,NA,Equip.,9250.0,6124.31
TXN-001676,01/11/2025, Sales,Asia Pacific,Payroll,74000.0,67495.37
TXN-001040,01-Feb-2025,H.R.,NA,Equip.,11299.04,10709.84
TXN-000691,10/01/2024,SALES,NA,PAYROLL,69607.7,72332.34
TXN-001022,01-Feb-2025,Information Technology,North America,Travel & Expenses,9039.23,8573.99
TXN-000420,06/01/2024,Operations,Apac,Equipment,10000.0,10989.77
TXN-000843,December 2024, Sales,N. America,Software,15000.0,14101.3
TXN-001003,01-Feb-2025,Sales,Asia Pacific,SW,16948.56,13320.76
TXN-001331,2025-06-01,Information Technology,apac,Payroll,80000.0,63793.96
TXN-000072,01-Jan-2024,H.R.,Apac,,8600.0,7043.6
TXN-001529,2025-09-01,sales,APAC,Ads,17000.0,-16126.12
TXN-000087,02/01/2024,marketing,APAC,travel,9039.23,9200.01
TXN-000780,01-Nov-2024, Sales,Asia Pacific,Equip.,9250.0,10670.32
TXN-000889,01-Dec-2024,H.R.,NA,Ads,20000.0,18476.85
TXN-000034,01/01/2024,Operations,north america,Advertising,21500.0,23025.38
TXN-000237,01/04/2024,Mktg,Asia Pacific,Travel & Expenses,9039.23,8204.41
TXN-001009,2025-02-01,Operations,north america,Advertising,22598.08,18373.09
TXN-001276,06/01/2025,marketing,North America,Payroll,80000.0,55032.86
TXN-001052,01-Mar-2025,Mktg,North America,Travel & Expenses,,"$8,981.77"
TXN-000616,09/01/2024,SALES,N. America,Payroll,68000.0,56497.65
TXN-000396,01/06/2024,SALES,Emea,PAYROLL,80000.0,85522.06
TXN-000418,June 2024,OPERATIONS,Apac,SW,15000.0,15217.46
TXN-001228,May 2025,sales,Apac,software,16125.0,19520.34
TXN-001623,10/01/2025,it,N. America,,13051.44,13570.06
